row_id,shape_name,shape_code,suburb_name,state_short,state_long
335,Bridgman,10335,Bridgman,NSW,New South Wales
336,Brierfield,10336,Brierfield,NSW,New South Wales
337,Brighton-le-Sands,10337,Brighton-le-Sands,NSW,New South Wales
338,Brightwaters,10338,Brightwaters,NSW,New South Wales
339,Bringelly,10339,Bringelly,NSW,New South Wales
340,Brisbane Grove,10340,Brisbane Grove,NSW,New South Wales
341,Broadmeadow,10341,Broadmeadow,NSW,New South Wales
342,Broadwater (Richmond Valley - NSW),10342,Broadwater ,NSW,New South Wales
343,Broadway,10343,Broadway,NSW,New South Wales
344,Brocklehurst,10344,Brocklehurst,NSW,New South Wales
345,Brocklesby,10345,Brocklesby,NSW,New South Wales
346,Brogo,10346,Brogo,NSW,New South Wales
347,Broke (NSW),10347,Broke ,NSW,New South Wales
348,Broken Head,10348,Broken Head,NSW,New South Wales
349,Broken Hill,10349,Broken Hill,NSW,New South Wales
350,Bronte,10350,Bronte,NSW,New South Wales
351,Brookdale (NSW),10351,Brookdale ,NSW,New South Wales
352,Brookfield (NSW),10352,Brookfield ,NSW,New South Wales
353,Brooklet,10353,Brooklet,NSW,New South Wales
354,Brooklyn (NSW),10354,Brooklyn ,NSW,New South Wales
355,Brookvale,10355,Brookvale,NSW,New South Wales
356,Brooms Head,10356,Brooms Head,NSW,New South Wales
357,Broughton Vale,10357,Broughton Vale,NSW,New South Wales
358,Broulee,10358,Broulee,NSW,New South Wales
359,Brownlow Hill,10359,Brownlow Hill,NSW,New South Wales
360,Brownsville,10360,Brownsville,NSW,New South Wales
361,Bruah,10361,Bruah,NSW,New South Wales
362,Brungle,10362,Brungle,NSW,New South Wales
363,Brunswick Heads,10363,Brunswick Heads,NSW,New South Wales
364,Brushgrove,10364,Brushgrove,NSW,New South Wales
365,Bucca (NSW),10365,Bucca ,NSW,New South Wales
366,Buckajo,10366,Buckajo,NSW,New South Wales
367,Budgee Budgee (NSW),10367,Budgee Budgee ,NSW,New South Wales
368,Budgewoi,10368,Budgewoi,NSW,New South Wales
369,Budgewoi Peninsula,10369,Budgewoi Peninsula,NSW,New South Wales
370,Buff Point,10370,Buff Point,NSW,New South Wales
371,Bugaldie,10371,Bugaldie,NSW,New South Wales
372,Bukkulla,10372,Bukkulla,NSW,New South Wales
373,Bulahdelah,10373,Bulahdelah,NSW,New South Wales
374,Bulga (NSW),10374,Bulga ,NSW,New South Wales
375,Bullaburra,10375,Bullaburra,NSW,New South Wales
376,Bulli,10376,Bulli,NSW,New South Wales
377,Bundabah,10377,Bundabah,NSW,New South Wales
378,Bundaburrah,10378,Bundaburrah,NSW,New South Wales
379,Bundagen,10379,Bundagen,NSW,New South Wales
380,Bundanoon (NSW),10380,Bundanoon ,NSW,New South Wales
381,Bundarra,10381,Bundarra,NSW,New South Wales
382,Bundeena,10382,Bundeena,NSW,New South Wales
383,Bundook,10383,Bundook,NSW,New South Wales
384,Bungarby,10384,Bungarby,NSW,New South Wales
385,Bungendore,10385,Bungendore,NSW,New South Wales
386,Bunglegumbie,10386,Bunglegumbie,NSW,New South Wales
387,Bungonia,10387,Bungonia,NSW,New South Wales
388,Bungowannah,10388,Bungowannah,NSW,New South Wales
389,Bungwahl,10389,Bungwahl,NSW,New South Wales
390,Bunnan,10390,Bunnan,NSW,New South Wales
391,Bunyan,10391,Bunyan,NSW,New South Wales
392,Burnt Bridge,10392,Burnt Bridge,NSW,New South Wales
393,Buronga,10393,Buronga,NSW,New South Wales
394,Burra (Palerang - NSW),10394,Burra ,NSW,New South Wales
395,Burrabadine,10395,Burrabadine,NSW,New South Wales
396,Burradoo,10396,Burradoo,NSW,New South Wales
397,Burraga,10397,Burraga,NSW,New South Wales
398,Burragate,10398,Burragate,NSW,New South Wales
399,Burraneer,10399,Burraneer,NSW,New South Wales
400,Burrangong,10400,Burrangong,NSW,New South Wales
401,Burrawang,10401,Burrawang,NSW,New South Wales
402,Burrell Creek,10402,Burrell Creek,NSW,New South Wales
403,Burren Junction,10403,Burren Junction,NSW,New South Wales
404,Burrill Lake,10404,Burrill Lake,NSW,New South Wales
405,Burringbar,10405,Burringbar,NSW,New South Wales
406,Burroway,10406,Burroway,NSW,New South Wales
407,Burrumbuttock,10407,Burrumbuttock,NSW,New South Wales
408,Burrundulla,10408,Burrundulla,NSW,New South Wales
409,Burwood (NSW),10409,Burwood ,NSW,New South Wales
410,Burwood Heights,10410,Burwood Heights,NSW,New South Wales
411,Busby,10411,Busby,NSW,New South Wales
412,Buttaba,10412,Buttaba,NSW,New South Wales
413,Buxton (NSW),10413,Buxton ,NSW,New South Wales
414,Byabarra,10414,Byabarra,NSW,New South Wales
415,Byangum,10415,Byangum,NSW,New South Wales
416,Byron Bay,10416,Byron Bay,NSW,New South Wales
417,Byrrill Creek,10417,Byrrill Creek,NSW,New South Wales
418,Bywong,10418,Bywong,NSW,New South Wales
419,Cabarita (NSW),10419,Cabarita ,NSW,New South Wales
420,Cabbage Tree Island (Ballina - NSW),10420,Cabbage Tree Island ,NSW,New South Wales
421,Cabramatta,10421,Cabramatta,NSW,New South Wales
422,Cabramatta West,10422,Cabramatta West,NSW,New South Wales
423,Cabramurra,10423,Cabramurra,NSW,New South Wales
424,Caffreys Flat,10424,Caffreys Flat,NSW,New South Wales
425,Calala,10425,Calala,NSW,New South Wales
426,Calarie,10426,Calarie,NSW,New South Wales
427,Calderwood,10427,Calderwood,NSW,New South Wales
428,Calimo,10428,Calimo,NSW,New South Wales
429,Callaghan,10429,Callaghan,NSW,New South Wales
430,Callala Bay,10430,Callala Bay,NSW,New South Wales
431,Callala Beach,10431,Callala Beach,NSW,New South Wales
432,Calliope (NSW),10432,Calliope ,NSW,New South Wales
433,Camberwell (NSW),10433,Camberwell ,NSW,New South Wales
434,Cambewarra,10434,Cambewarra,NSW,New South Wales
435,Cambewarra Village,10435,Cambewarra Village,NSW,New South Wales
436,Cambridge Gardens,10436,Cambridge Gardens,NSW,New South Wales
437,Cambridge Park,10437,Cambridge Park,NSW,New South Wales
438,Camden,10438,Camden,NSW,New South Wales
439,Camden Head,10439,Camden Head,NSW,New South Wales
440,Camden Park (NSW),10440,Camden Park ,NSW,New South Wales
441,Camden South,10441,Camden South,NSW,New South Wales
442,Cameron Park,10442,Cameron Park,NSW,New South Wales
443,Cammeray,10443,Cammeray,NSW,New South Wales
444,Campbelltown (NSW),10444,Campbelltown ,NSW,New South Wales
445,Camperdown (NSW),10445,Camperdown ,NSW,New South Wales
446,Campsie,10446,Campsie,NSW,New South Wales
447,Canada Bay,10447,Canada Bay,NSW,New South Wales
448,Candelo,10448,Candelo,NSW,New South Wales
449,Cangai,10449,Cangai,NSW,New South Wales
450,Caniaba,10450,Caniaba,NSW,New South Wales
451,Canley Heights,10451,Canley Heights,NSW,New South Wales
452,Canley Vale,10452,Canley Vale,NSW,New South Wales
453,Canobolas,10453,Canobolas,NSW,New South Wales
454,Canoelands,10454,Canoelands,NSW,New South Wales
455,Canowindra,10455,Canowindra,NSW,New South Wales
456,Canterbury (NSW),10456,Canterbury ,NSW,New South Wales
457,Canton Beach,10457,Canton Beach,NSW,New South Wales
458,Canyonleigh,10458,Canyonleigh,NSW,New South Wales
459,Capertee,10459,Capertee,NSW,New South Wales
460,Captains Flat,10460,Captains Flat,NSW,New South Wales
461,Caragabal,10461,Caragabal,NSW,New South Wales
462,Carcoar,10462,Carcoar,NSW,New South Wales
463,Cardiff (NSW),10463,Cardiff ,NSW,New South Wales
464,Cardiff Heights,10464,Cardiff Heights,NSW,New South Wales
465,Cardiff South,10465,Cardiff South,NSW,New South Wales
466,Carey Bay,10466,Carey Bay,NSW,New South Wales
467,Cargo,10467,Cargo,NSW,New South Wales
468,Carinda,10468,Carinda,NSW,New South Wales
469,Caringbah,10469,Caringbah,NSW,New South Wales
470,Caringbah South,10470,Caringbah South,NSW,New South Wales
471,Carlingford,10471,Carlingford,NSW,New South Wales
472,Carlton (NSW),10472,Carlton ,NSW,New South Wales
473,Carool,10473,Carool,NSW,New South Wales
474,Caroona,10474,Caroona,NSW,New South Wales
475,Carramar (NSW),10475,Carramar ,NSW,New South Wales
476,Carrathool,10476,Carrathool,NSW,New South Wales
477,Carrington (Newcastle - NSW),10477,Carrington ,NSW,New South Wales
478,Carroll,10478,Carroll,NSW,New South Wales
479,Carrs Creek,10479,Carrs Creek,NSW,New South Wales
480,Carss Park,10480,Carss Park,NSW,New South Wales
481,Cartwright,10481,Cartwright,NSW,New South Wales
482,Cartwrights Hill,10482,Cartwrights Hill,NSW,New South Wales
