SSC,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,Secular Beliefs/No Religious Affiliation
Bowning,0,352,0,0,0,10,157
Bowral,92,6519,113,9,33,42,2594
Bowraville,18,656,4,4,0,16,309
Box Head,0,0,0,0,0,0,0
Box Hill (NSW),9,685,5,0,6,8,126
Box Ridge,0,36,0,0,0,0,11
Boxers Creek,3,157,0,0,0,0,45
Boydtown,0,41,0,0,0,3,21
Bradbury (NSW),123,5446,70,406,8,61,1936
Braefield,0,50,0,0,0,0,11
Braemar,0,274,3,8,0,3,136
Braemar Bay,0,9,0,0,0,0,4
Braidwood,9,870,3,0,0,19,537
Brandy Hill,6,440,0,0,0,3,164
Branxton,12,1408,0,0,0,0,436
Braunstone,0,172,0,0,0,0,78
Brawboy,0,15,0,0,0,0,0
Bray Park (NSW),14,459,22,0,0,9,230
Brays Creek,0,28,0,0,0,0,19
Brayton,0,109,0,0,0,0,26
Breadalbane (NSW),0,62,0,0,0,0,20
Breakfast Creek,0,28,0,0,0,0,8
Breakfast Point,114,2328,97,62,8,19,1218
Bream Beach,0,9,0,0,0,0,3
Bredbo,0,209,0,0,0,0,94
Breelong,0,40,0,0,0,0,13
Breeza,0,112,0,0,0,0,27
Bretti,0,15,0,0,0,0,0
Brewarrina,0,576,3,0,0,12,358
Brewongle,0,101,0,0,0,0,8
Briarbrook,0,12,0,0,0,0,0
Bribbaree,0,120,0,0,0,0,15
Bridgman,0,155,0,0,0,0,39
Brierfield,14,121,0,0,3,0,159
Brighton-le-Sands,181,5134,133,604,30,43,1270
Brightwaters,4,615,3,0,0,0,229
Bril Bril,0,0,0,0,0,0,0
Brimbin,0,40,0,0,0,0,15
Brindabella,0,11,0,0,0,0,10
Brinerville,0,0,0,0,0,0,0
Bringelly,30,1827,15,163,0,6,294
Bringenbrong,0,35,0,0,0,0,15
Brisbane Grove,0,105,0,0,0,0,21
Broadmeadow,17,783,11,12,0,6,651
Broadwater (Bega Valley - NSW),6,76,0,0,0,0,33
Broadwater (Richmond Valley - NSW),3,370,0,9,0,0,195
Broadway,0,28,0,0,0,0,6
Brobenah,0,17,0,0,0,0,0
Brocklehurst,0,257,0,0,0,0,58
Brocklesby,0,123,0,0,0,0,41
Brockley,0,35,0,0,0,0,5
Brodies Plains,0,43,0,0,0,0,6
Brogans Creek,0,3,0,0,0,0,3
Brogers Creek,0,8,0,0,0,0,22
Brogo,11,197,0,0,3,0,242
Broke (NSW),0,349,0,0,0,3,133
Broken Head,11,82,0,0,0,6,147
Broken Hill,96,9464,45,41,5,50,6324
Brombin,0,59,0,0,0,0,43
Bronte,61,3006,11,17,237,8,2647
Brookdale (NSW),0,15,0,0,0,0,3
Brookfield (NSW),7,122,0,0,0,0,52
Brooklana,0,19,0,0,0,0,21
Brooklet,12,100,0,0,0,0,118
Brooklyn (NSW),11,340,0,7,0,3,298
Brookong,0,4,0,0,0,0,3
Brookvale,125,1543,83,39,7,13,1089
Brooman,0,4,0,0,0,0,14
Brooms Head,10,128,0,0,0,4,66
Broughams Gate,0,16,0,0,0,0,0
Broughton (NSW),0,51,0,0,0,0,36
Broughton Vale,0,108,0,0,0,0,39
Broughton Village,0,53,0,0,0,0,24
Broulee,6,907,0,8,0,7,621
Brownlow Hill,8,238,16,29,0,0,108
Browns Creek,0,67,0,0,0,0,29
Browns Mountain,0,13,0,0,0,0,6
Brownsville,8,336,0,0,0,0,136
Brucedale,0,114,0,0,0,0,49
Bruie Plains,0,22,0,0,0,0,13
Bruinbun,0,21,0,0,0,0,3
Brumby Plains,0,0,0,0,0,0,0
Brundee,0,31,0,0,0,0,12
Brungle,0,88,0,0,0,0,14
Brungle Creek,0,21,0,0,0,0,3
Brunkerville,0,116,0,0,0,5,66
Brunswick Heads,32,711,3,0,17,22,729
Brushgrove,0,111,0,0,0,0,72
Brushy Creek,0,15,0,0,0,0,7
