SSC,population
Curramore (NSW),192
Currans Hill,5311
Currarong,449
Currawang,184
Currawarna,188
Curraweela,46
Curricabark,11
Currowan,55
Cuttabri,44
Cuttagee,54
Dabee,37
Daceyville,1208
Dairy Arm,29
Dairy Flat,19
Dairymans Plains,157
Daleys Point,681
Dalgety,205
Dalmeny,1937
Dalmorton,3
Dalswinton,53
Dalton,194
Dalwood (Ballina - NSW),235
Dalwood (Singleton - NSW),107
Dandaloo,38
Dandry,93
Dangar Island,305
Dangarsleigh,155
Dangelong,3
Dapto,10729
Darawank,401
Darbalara,54
Darbys Falls,247
Dareton,505
Dargan,91
Dark Corner,20
Darkes Forest,112
Darkwood,178
Darling Point,4192
Darlinghurst,11317
Darlington (Singleton - NSW),367
Darlington (Sydney - NSW),3093
Darlington Point,1155
Darlow,36
Dartbrook,109
Daruka,781
Davidson,2845
Davis Creek,21
Davistown,2492
Dawes Point,361
Daysdale,97
Dean Park,3224
Deauville,25
Debenham,4
Dee Why,21518
Deep Creek (Clarence Valley - NSW),5
Deep Creek (Kempsey - NSW),90
Deep Creek (Kyogle - NSW),33
Deepwater (NSW),433
Deer Vale,160
Delegate,355
Delungra,641
Denham Court,1985
Denhams Beach,646
Deniliquin,7861
Denistone,3749
Denistone East,2248
Denistone West,930
Denman,1789
Depot Beach,19
Derriwong,38
Deua,0
Deua River Valley,78
Devils Hole,23
Dewitt,14
Dharruk,2776
Dhulura,48
Dhuragoon,25
Diamond Beach,880
Diamond Head,4
Diehard,44
Diggers Camp,18
Dignams Creek,85
Dilkoon,53
Dilpurra,22
Dingo Forest,0
Dinoga,58
Dirnaseer,76
Dirty Creek,85
Dobies Bight,136
Doctor George Mountain,62
Doctors Gap,35
Dog Rocks,5
Dolans Bay,599
Dolls Point,1657
Dollys Flat,74
Dolphin Point,201
Dombarton,140
Donald Creek,27
Dondingalong,667
Doon Doon,91
Doonbah,240
Doonside,13452
Dooralong,359
Dora Creek,1647
Dorrigo,1193
Dorrigo Mountain,94
Dorroughby,140
Double Bay,4643
Doubtful Creek,143
Douglas Park,1360
Dover Heights,3802
Downside,118
Doyalson,309
Doyalson North,384
Doyles Creek,46
Doyles River,0
Drake,340
Drildool,14
Dripstone,76
Drummoyne,11950
Dry Creek (NSW),33
Dry Plain,40
Dubbo,38943
Duck Creek,57
Duckenfield,107
Duckmaloi,49
Dudley,2415
