SSC,population
Exeter (NSW),948
Failford,518
Fairfield (NSW),18081
Fairfield East,5271
Fairfield Heights,7517
Fairfield West,11571
Fairholme,21
Fairlight,5841
Fairy Hill,384
Fairy Meadow,7406
Falbrook,27
Falconer,50
Falls Creek (NSW),934
Far Meadow,214
Fargunyah,16
Farley,216
Farmborough Heights,4198
Farnham,27
Farrants Hill,121
Farringdon,14
Fassifern (NSW),597
Faulconbridge,4026
Faulkland,81
Fawcetts Plain,152
Federal (NSW),691
Fennell Bay,1613
Fern Bay,2762
Fern Gully,64
Fernances,13
Fernances Crossing,33
Fernbank Creek,132
Fernbrook,112
Fernhill,1024
Fernleigh,297
Fernmount,364
Fernside,50
Fernvale (NSW),262
Ferodale,84
Fiddletown,231
Fifield,127
Figtree,11564
Findon Creek,24
Fine Flower,26
Fingal Bay,1613
Fingal Head,592
Finley,2524
Firefly,270
Fishermans Bay,63
Fishermans Paradise,477
Fishermans Reach,159
Fishers Hill,34
Fishing Point,1042
Fitzgeralds Mount,54
Fitzgeralds Valley,9
Fitzroy Falls,222
Five Dock,9359
Five Ways,30
Flat Tops,25
Fletcher (NSW),5132
Flinders (NSW),6679
Floraville,1855
Forbes (NSW),8433
Forbes Creek,64
Forbes River,9
Forbesdale,177
Fords Bridge,48
Fordwich,92
Forest Glen (NSW),68
Forest Grove (NSW),106
Forest Hill (NSW),2274
Forest Land,0
Forest Lodge,4583
Forest Reefs,519
Forestville (NSW),8333
Forresters Beach,2897
Forster (NSW),13739
Fortis Creek,27
Fosters Valley,86
Fosterton,110
Fountaindale,703
Four Corners,0
Four Mile Creek (NSW),12
Fowlers Gap,31
Foxground,151
Frazer Park,0
Frazers Creek,183
Frederickton,1390
Freeburn Island,0
Freemans,0
Freemans Reach,1973
Freemans Waterhole,104
Freemantle,27
French Park,28
Frenchs Forest,13476
Freshwater (NSW),8862
Frog Rock,152
Frogmore,134
Frogs Hollow,112
Frying Pan,0
Fullerton,49
Fullerton Cove,568
Furracabad,45
Gadara,41
Gala Vale,5
Galambine,64
Galong,226
Galore,98
Galston,3133
Ganbenang,91
Gangat,25
Ganmain,781
Garah,306
Garden Suburb,1911
Garema,102
Garland,57
Garland Valley,12
Garoo,105
Garra,98
Garthowen,153
Gateshead,3142
Gearys Flat,3
Geehi,0
Gelston Park,122
Gemalla,13
Geneva,714
Georges Creek (NSW),14
Georges Hall,9039
Georges Plains,249
Georgetown (NSW),1956
Georgica,223
Gerogery,563
Gerringong,3962
Gerroa,673
Geurie,752
Ghinni Ghi,37
Ghinni Ghinni,56
Ghoolendaadi,62
Giants Creek,86
Gibberagee,25
Gibraltar Range,0
Gidginbung,69
Gidley,95
Gilead,415
Gilgai,718
Gilgandra,3129
Gilgooma,34
Gilgunnia,0
Gillenbah,141
Gilletts Ridge,25
Gillieston Heights,3152
Gilmandyke,18
Gilmore (NSW),177
Gin Gin (NSW),112
Gineroi,61
Ginghi,11
Gingkin,77
Girards Hill,1323
Girilambone,103
Giro,3
Girral,54
Girralong,43
Girraween (NSW),5587
Girvan,159
Gladesville,11826
Gladstone (NSW),375
Glanmire (NSW),154
Glebe (NSW),11534
Gledswood Hills,24
Glen Alice,52
Glen Allen,16
Glen Alpine,4558
Glen Davis,117
Glen Elgin,217
Glen Fergus,9
Glen Innes,6157
Glen Martin,172
Glen Nevis,0
Glen Oak,347
Glen Ward,6
Glen William,126
Glenbawn,76
Glenbrook,5049
Glencoe (NSW),194
Glendale (NSW),3099
Glendenning,5125
Glendon,118
Glendon Brook,263
Glenelg (NSW),32
Glenellen,123
Glenfield (NSW),9637
Glenfield Park,5229
Glengarrie,144
Glenhaven,6507
Gleniffer,376
Glenmore (NSW),119
Glenmore Park,23002
Glennies Creek,38
Glenning Valley,2016
Glenorie,3497
Glenquarry,222
Glenreagh,898
Glenridding,258
Glenrock (NSW),35
Glenroy (Albury - NSW),3288
Glenroy (Snowy Valleys - NSW),72
Glenthorne,237
Glenugie,207
Glenwood (NSW),16128
Glenworth Valley,5
Glossodia,2829
Gloucester,2979
Gloucester Tops,0
Goat Island,0
Gobarralong,51
Gobbagombalin,472
Gocup,146
Godfreys Creek,79
Gogeldrie,87
Gol Gol,1525
Gollan,126
Golspie,63
Gongolgon,38
Gonn,43
Goobarragandra,70
Good Forest,36
Good Hope,167
Goodnight,97
Goodooga,243
Goodwood Island,67
Googong,2689
Goolgowi,400
Goolhi,88
Goolma,105
Goolmangar,190
Gooloogong,397
Goombargana,51
Goonellabah,12900
Goonengerry,365
Goonoo Forest,11
Goonoo Goonoo,61
Goonumbla,111
Goorangoola,52
Goorianawa,24
Gordon (NSW),7666
Gorge Creek,14
Gormans Hill,785
Gorokan,8370
Gosford,3500
Gosforth,78
Gostwyck,22
Goulburn,22416
Gouldsville,10
Gowan,29
Gowang,24
Gowrie (Singleton - NSW),324
Gowrie (Tamworth Regional - NSW),96
Grabben Gullen,251
Gradys Creek,47
Grafton,10412
Gragin,0
Grahamstown,58
Graman,103
Grants Beach,0
Granville (NSW),15329
Grasmere,1963
Grassy Head,81
Grattai,326
Gravesend,321
Grays Point,3126
Great Mackerel Beach,38
Great Marlow,186
Green Cape,0
Green Creek,13
Green Forest,4
Green Gully (NSW),31
Green Hills (Armidale Regional - NSW),22
Green Hills (Snowy Valleys - NSW),0
Green Pigeon,162
Green Point (Central Coast - NSW),6406
Green Point (Gosford - NSW),170
Green Point (Mid-Coast - NSW),531
Green Valley (NSW),12514
Greenacre,24371
Greendale (Bega Valley - NSW),81
Greendale (Liverpool - NSW),345
Greenethorpe,239
Greenfield Park,5088
Greengrove,20
Greenhill (NSW),738
Greenhills Beach,793
Greenlands (Singleton - NSW),79
Greenlands (Snowy Monaro Regional - NSW),19
Greenleigh,684
Greenridge,151
Greenwell Point,1212
Greenwich,5615
Greenwich Park,115
Greg Greg,40
Gregadoo,243
Gregory Hills,4987
Greigs Flat,151
Grenfell,2569
Gresford,244
Greta (NSW),2829
Greta Main,67
Grevillia,76
Greystanes,22803
Griffith (NSW),18197
Grogan,88
Grong Grong,250
Grose Vale,1261
Grose Wold,636
Grosses Plain,35
Growee,10
Guerilla Bay,52
Guildford (NSW),22327
Guildford West,4916
Gulargambone,589
Gulf Creek,54
Gulgong,2523
Gulmarrad,1693
Gum Flat,209
Gum Scrub,120
Gumbalie,6
Gumble,52
Gumly Gumly,309
Gumma,459
Gunbar,50
Gundagai,1677
Gundamulda,17
Gundaroo,1144
Gundary,273
Gunderbooka,13
Gunderman,199
Gundy,205
Gungal,266
Gungalman,5
Gunnedah,9728
Gunning,656
Gunning Gap,79
Gunningbland,79
Gunningrah,0
Gurley,236
Gurnang,124
Gurranang,89
Gurrundah,58
Guyong,129
Guyra,2025
Gwabegar,160
Gwandalan,3274
Gwynneville,3102
Gymea,7587
Gymea Bay,6892
Haberfield,6453
Hacks Ferry,14
Halekulani,2538
Halfway Creek,256
Hallidays Point,519
Halloran,40
Halls Creek (NSW),131
Hallsville,533
Halton,20
Hambledon Hill,14
Hamilton (NSW),4230
Hamilton East,984
Hamilton North,869
Hamilton South,3875
Hamilton Valley,564
Hamlyn Terrace,6068
Hammondville,3495
Hampden Hall,62
Hampton (NSW),106
Hanging Rock,107
Hanleys Creek,3
Hannam Vale,182
Hanwood,1258
Harden,2031
Hardys Bay,232
Harefield,143
Hargraves,270
Harolds Cross,55
Harparary,47
Harpers Hill,56
Harrington,3036
Harrington Park,10664
Harris Park,5801
Hartley (NSW),411
Hartley Vale,68
Hartwood,21
Hartys Plains,33
Harwood,292
Hassall Grove,4512
Hassans Walls,0
Hastings Point,651
Hat Head,307
Hatfield,17
Havilah (NSW),21
Hawkesbury Heights,453
Hawks Nest,1216
Hay (NSW),2405
Hay South,357
Hayes Gap,16
Haymarket,7354
Haystack,8
Hayters Hill,23
Haywards Bay,1007
Hazelbrook,4976
Hazelgrove,89
Heathcote (NSW),6013
Heatherbrae,508
Hebden,40
Hebersham,5686
Heckenberg,3093
Heddon Greta,2044
Heifer Station,5
Helensburgh,6379
Henley,472
Henty (NSW),1240
Hereford Hall,22
Hermidale,138
Hermitage Flat,344
Hernani,129
Herons Creek,251
Hexham (NSW),128
Hickeys Creek,129
High Range,397
Higher Macdonald,10
Highfields (NSW),834
Hill End (NSW),107
Hill Top (Snowy Monaro Regional - NSW),84
Hill Top (Wingecarribee - NSW),2672
Hilldale,197
Hillgrove (Armidale Regional - NSW),172
Hillgrove (Wagga Wagga - NSW),26
Hillsborough (Lake Macquarie - NSW),656
Hillsborough (Maitland - NSW),41
Hillsdale,5505
Hillston,1464
Hillville,313
Hillvue,6393
Hinchinbrook (NSW),11222
Hinton,450
Hobartville (NSW),2744
Hobbys Yards,81
Hogarth Range,46
Holbrook,1715
Holgate,968
Hollisdale,51
Hollydeen,65
Holmesville,1367
Holroyd,1277
Holsworthy,5481
Holts Flat,3
Home Rule,53
Homebush (NSW),7004
Homebush West,8609
Homeleigh,112
Honeybugle,28
Hopefield,82
Hopkins Creek,111
Horningsea Park,3731
Hornsby,22167
Hornsby Heights,6309
Horse Station Creek,102
Horseshoe Bend,380
Horseshoe Creek,90
Horsfield Bay,544
Horsley,8226
Horsley Park,1837
Hoskinstown,190
Hovells Creek,38
Howards Grass,72
Howell,34
Howes Valley,124
Howick (NSW),0
Howlong,2771
Hoxton Park,4357
Humula,123
Hungerford (NSW),14
Hunters Hill,9529
Hunterview,3005
Huntingdon,89
Huntingwood,0
Huntley (Orange - NSW),153
Huntley (Wollongong - NSW),50
Huntleys Cove,748
Huntleys Point,146
Huonbrook,148
Hurlstone Park,4694
Hurstville,29827
Hurstville Grove,2666
Huskisson,784
Hyams Beach,111
Hyland Park,426
Hyndmans Creek,58
Ilarwill,220
Ilford,189
Illabo,147
Illaroo,32
Illawong,7272
Iluka (NSW),1719
Indi,37
Ingebirah,96
Ingleburn,15038
Ingleside,972
Innes View,32
Inverell,11660
Invergordon (NSW),32
Invergowrie,776
Iron Pot Creek,27
Ironbark (NSW),26
Ironmungy,8
Irvington,80
Irymple (NSW),9
Isabella,28
Islington,1883
Ivanhoe (NSW),326
Jackadgery,95
Jacks Creek,130
Jacksons Flat,12
Jacky Bulbin Flat,23
Jagumba,0
Jagungal Wilderness,0
Jamberoo,1635
James Creek,213
Jamisontown,5498
Jannali,6185
Jaspers Brush,357
Jaunter,8
Jeir,254
Jellat Jellat,80
Jemalong,76
Jembaicumbene,39
Jennings,153
Jenolan,23
Jeogla,40
Jerangle,97
Jeremadra,169
Jeremy,3
Jerilderie,1031
Jerrabattgulla,13
Jerrabomberra,9508
Jerrara,155
Jerrawa,74
Jerrawangala,70
Jerrong,15
Jerrys Plains,386
Jerseyville,115
Jesmond,3050
Jewells,2406
Jews Lagoon,0
Jiggi,391
Jilliby,1644
Jimenbuen,34
Jincumbilly,3
Jindabyne,2631
Jinden,18
Jindera,2222
Jingellic,59
Jingera,36
Joadja,124
Joes Box,12
Johns River,329
Jolly Nose,0
Jones Bridge,26
Jones Creek,111
Jones Island,62
Jordan Springs,5160
Judds Creek,19
Jugiong,219
Junction Hill,1373
Junee,4918
Junee Reefs,87
Kahibah,2469
Kains Flat,168
Kalang,262
Kalaru,712
Kalkite,215
Kamarah,94
Kameruka,119
Kanahooka,5577
Kanangra,0
Kandos,1317
Kangaloon,154
Kangaroo Creek,107
Kangaroo Point (NSW),561
Kangaroo Valley,877
Kangaroobie,41
Kangiara,52
Kangy Angy,307
Kanimbla (NSW),126
Kanoona,139
Kanwal,4095
Kapooka,629
Kaputar,4
Karaak Flat,46
Karabar,8241
Karangi,583
Kareela,3455
Kariong,6381
Kars Springs,34
Karuah,1411
Katoomba,7959
Kayuga,56
Kearns,2745
Kearsley,861
Keepit,11
Keera,55
Keerrong,155
Keinbah,121
Keiraville,3572
Keith Hall,165
Kellys Plains,160
Kellyville,27973
Kellyville Ridge,10470
Kelso (NSW),8975
Kelvin,178
Kembla Grange,256
Kembla Heights,122
Kemps Creek,2271
Kempsey,477
Kendall,1141
Kenebri,43
Kennaicle Creek,4
Kensington (NSW),15002
Kenthurst,5040
Kentlyn,745
Kentucky,158
Kentucky South,119
Kerewong,9
Keri Keri,7
Kerrabee,13
Kerrigundi,14
Kerrs Creek,42
Kew (NSW),1088
Keybarbin,6
Khancoban,298
Khatambuhl,5
Kia Ora (NSW),27
Kiacatoo,28
Kiah,149
Kiama,6885
Kiama Downs,5007
Kiama Heights,814
Kianga (NSW),777
Kiar,36
Kickabil,51
Kielvale,254
Kikiamah,96
Kikoira,63
Kilaben Bay,1432
Kilgin,47
Kilgra,80
Killabakh,271
Killara (NSW),10576
Killarney Heights,4465
Killarney Vale,7216
Killawarra (NSW),170
Killcare,478
Killcare Heights,744
Killiekrankie,0
Killimicat,28
Killingworth (NSW),678
Killongbutta,29
Kimbriki,128
Kinchela,262
Kincumber,7093
Kincumber South,688
Kindee,96
Kindervale,19
King Creek,1572
Kingfisher Shores,165
Kinghorne,0
Kings Forest,39
Kings Langley,9353
Kings Park (NSW),3453
Kings Plains (Blayney - NSW),115
Kings Plains (Inverell - NSW),10
Kings Point,555
Kingscliff,7464
Kingsdale,174
Kingsford (NSW),15484
Kingsgate,6
Kingsgrove,12450
Kingsland,40
Kingstown,96
Kingsvale,179
Kingswood (Bega Valley - NSW),10
Kingswood (Penrith - NSW),9301
Kingswood (Tamworth Regional - NSW),1032
Kioloa,261
Kiora,56
Kippara,0
Kippaxs,22
Kippenduff,37
Kirkconnell,285
Kirkham,695
Kirrawee,9282
Kirribilli,3818
Kitchener,481
Kiwarrak,0
Klori,49
Knights Hill,41
Knockrow,192
Knorrit Flat,30
Knorrit Forest,0
Kogarah,15120
Kogarah Bay,2021
Kooba,74
Kookabookra,10
Koolewong,867
Koolkhan,36
Koonawarra,3669
Koonorigan,303
Koonyum Range,16
Kooragang,0
Koorainghat,193
Koorawatha,429
Kooringal (NSW),7231
Kootingal,2126
Koraleigh,354
Koreelah,72
Korora,2487
Kosciuszko,0
Kosciuszko National Park,572
Kotara,3928
Kotara South,1103
Krambach,379
Krawarree,43
Kremnos,169
Ku-Ring-Gai Chase,3
Kulnura,607
Kulwin (NSW),11
Kunama,69
Kundabung,629
Kundibakh,76
Kundle Kundle,192
Kungala,145
Kunghur,104
Kunghur Creek,46
Kurmond,851
Kurnell,2269
Kurraba Point,1525
Kurrajong,3059
Kurrajong Heights,1340
Kurrajong Hills,667
Kurri Kurri,6046
Kyalite,85
Kyarran,22
Kybeyan,41
Kyeamba,56
Kyeemagh,916
Kyle Bay,1036
Kynnumboon,135
Kyogle,2200
La Perouse,404
Lacmalac,154
Lade Vale,128
Ladysmith,350
Laffing Waters,110
Laggan,361
Lagoon Grass,53
Laguna,214
Lake Albert (NSW),6191
Lake Bathurst,227
Lake Brewster,8
Lake Burrendong,5
Lake Cargelligo,1476
Lake Cathie,3496
Lake Conjola,436
Lake Cowal,38
Lake George,101
Lake Haven,3575
Lake Heights,3844
Lake Hume Village,55
Lake Illawarra,3166
Lake Innes,432
Lake Macquarie,0
Lake Munmorah,5246
Lake Tabourie,649
Lake Wyangan,899
Lakelands (NSW),1425
Lakemba,17019
Lakesland,434
Lakewood,1191
Lalalty,96
Lalor Park,7667
Lambs Valley (Glen Innes Severn - NSW),90
Lambs Valley (Singleton - NSW),368
Lambton,4910
Landervale,22
Lane Cove,10815
Lane Cove North,11442
Lane Cove West,2630
Langley Vale,44
Lanitza,298
Lankeys Creek,47
Lansdowne (Canterbury-Bankstown - NSW),16
Lansdowne (Mid-Coast - NSW),591
Lansdowne Forest,6
Lansvale,2575
Lapstone,957
Larbert,41
Largs,1935
Larnook,374
Larras Lee,68
Laughtondale,82
Laurel Hill,22
Laurieton,1990
Lavadia,21
Lavender Bay,943
Laverstock,28
Lavington,12474
Lawrence (NSW),1042
Lawson (NSW),2612
Leadville,170
Leconfield,144
Lee Creek,4
Leeton,8624
Leets Vale,57
Leeville,249
Legume,150
Leichhardt (NSW),14622
Lemington,8
Lemon Tree,58
Lemon Tree Passage,2600
Len Waters Estate,0
Lenaghan,52
Lennox Head,6409
Leonay,2517
Leppington,3499
Lerida,24
Lethbridge Park,4750
Leumeah,9836
Leura,4648
Levenstrath,43
Lewinsbrook,41
Lewis Ponds,151
Lewisham (NSW),3165
Leycester,149
Liberty Grove,2253
Lidcombe,19626
Liddell,0
Lidsdale,429
Lidster,305
Lightning Ridge,2282
Lilli Pilli (Eurobodalla - NSW),625
Lilli Pilli (Sutherland Shire - NSW),1391
Lillian Rock,220
Lilydale (NSW),26
Lilyfield,7617
Lilyvale (NSW),0
Limbri,102
Limeburners Creek (Mid-Coast - NSW),336
Limeburners Creek (Port Macquarie-Hastings - NSW),12
Limekilns,111
Limerick,40
Limestone (NSW),8
Limpinwood,221
Linburn,62
Linden (NSW),496
Lindendale,244
Lindesay,22
Lindesay Creek,21
Lindfield,9794
Lindifferon,48
Linley Point,348
Lionsville,5
Lisarow,5136
Lismore (NSW),3578
Lismore Heights,2193
Liston,136
Lithgow,5202
Little Back Creek,42
Little Bay,4477
Little Billabong,109
Little Forest,160
Little Hartley,510
Little Jacks Creek,23
Little Jilliby,115
Little Pelican,3
Little Plain,144
Little River (NSW),49
Little Topar,31
Little Wobby,60
Littleton,796
Liverpool,27087
Llanarth (NSW),2197
Llandilo,1633
Llangothlin,125
Lloyd,843
Loadstone,40
Lochiel (NSW),356
Lochinvar,783
Lockhart,1068
Locksley (NSW),53
Loftus,4128
Loftville,231
Logans Crossing,133
Logie Brae,82
Londonderry (NSW),3904
Long Beach,1436
Long Flat (NSW),126
Long Jetty,6391
Long Plain (Inverell - NSW),36
Long Plain (Snowy Monaro Regional - NSW),0
Long Point (Campbelltown - NSW),211
Long Point (Singleton - NSW),33
Longarm,11
Longreach (NSW),64
Longueville,2062
Loomberah,507
Lord Howe Island,381
Lords Hill,26
Lorn,1339
Lorne (NSW),264
Lost River,70
Lostock,55
Louisa Creek,5
Louth,43
Louth Park,655
Lovedale,486
Lovett Bay,147
Lowanna,362
Lower Acacia Creek,40
Lower Bago,3
Lower Belford,388
Lower Boro,170
Lower Bottle Creek,21
Lower Creek,31
Lower Duck Creek,26
Lower Dyraaba,24
Lower Lewis Ponds,41
Lower Macdonald,262
Lower Mangrove,66
Lower Pappinbarra,116
Lower Peacock,3
Lower Portland,591
Lower Southgate,112
Lowesdale,99
Lowther,73
Loxford,66
Lucas Heights,0
Lucknow (NSW),298
Luddenham,1827
Lue,192
Lugarno,5604
Lurnea,9315
Luskintyre,183
Lynchs Creek,88
Lyndhurst (Armidale Regional - NSW),20
Lyndhurst (Blayney - NSW),363
Lynwood (NSW),226
Mabins Well,18
Macdonalds Creek,15
Macksville,2598
Maclean,2622
Macmasters Beach,1292
Macquarie Fields,13712
Macquarie Hills,3305
Macquarie Links,1357
Macquarie Marshes,3
Macquarie Park,8142
Macquarie Pass,0
Maddens Plains,4
Maffra (NSW),24
Magenta (NSW),208
Magometon,24
Maianbar,507
Maimuru,139
Main Arm,584
Main Creek,85
Mairjimmy,54
Maison Dieu,180
Maitland (NSW),1884
Maitland Bar,21
Maitland Vale,137
Majors Creek (NSW),252
Malabar,5423
Maldon (NSW),19
Mallabula,932
Mallan,52
Mallanganee,148
Mallee,8
Mallowa,103
Maloneys Beach,369
Malua Bay,1934
Manar,121
Manchester Square,19
Mandagery,68
Mandalong,431
Mandemar,63
Mandurama,356
Mangerton,2857
Mangoola,51
Mangoplah,308
Mangrove Creek,36
Mangrove Mountain,714
Manildra,763
Manilla,2548
Manly (NSW),15863
Manly Vale,6167
Mannering Park,2472
Manning Point,245
Mannus,222
Manobalai,70
Manton (NSW),290
Manyana,523
Maragle,60
Maraylya,1242
Marayong,7706
March,117
Marchmont,226
Mardi,3681
Marengo (NSW),11
Mares Run,0
Marinna,48
Marks Point,1824
Markwell,115
Marlee,217
Marlo Merrican,69
Marlow,21
Marlowe,0
Marmong Point,757
Marom Creek,130
Maroota,619
Maroubra,30686
Marrangaroo,909
Marrar,368
Marrickville,26590
Marsden Park,1003
Marsfield,13295
Marshall Mount,145
Marshdale,42
Marthaguy,58
Martindale,161
Martins Creek,385
Martinsville,365
Marulan,1178
Maryland (Newcastle - NSW),7691
Maryland (Tenterfield - NSW),53
Marys Mount,69
Maryvale (NSW),192
Maryville,1447
Mascot,14771
Matcham,987
Matheson,54
Mathoura,940
Matong,168
Matraville,9804
Maude (NSW),86
Maules Creek,111
Maxwell,94
Maybole,45
Mayers Flat,49
Mayfield (Newcastle - NSW),9312
Mayfield (Oberon - NSW),4
Mayfield (Queanbeyan-Palerang Regional - NSW),21
Mayfield (Shoalhaven - NSW),37
Mayfield East,1687
Mayfield North,0
Mayfield West,1896
Mayrung,146
Mays Hill,767
Mayvale,17
McCullys Gap,246
McDougalls Hill,141
McGraths Hill,2555
McKees Hill,352
McKellars Park,223
McLeans Ridges,515
McLeods Shoot,101
McMahons Point,2280
McMahons Reef,53
Meadow Flat,313
Meadowbank (NSW),4408
Mebbin,0
Mebul,41
Medlow Bath,616
Medowie,9563
Medway,122
Meerschaum Vale,398
Megalong Valley,149
Megan,152
Melbergen,0
Melinga,106
Mellong,4
Mellool,46
Melrose Park (NSW),1572
Melville (NSW),57
Memagong,91
Menah,150
Menai,10306
Menangle,1146
Menangle Park,254
Mendooran,564
Menindee,552
Merah North,184
Merewether,10963
Merewether Heights,1400
Merimbula,3544
Meringo,97
Mernot,0
Meroo,38
Meroo Meadow,479
Merotherie,22
Merriangaah,8
Merricumbene,13
Merrigal,30
Merrill,33
Merriwa (NSW),1761
Merriwagga,105
Merrygoen,116
Merrylands,29650
Merrylands West,6588
Merungle Hill,258
Meryla,7
Metford,4761
Methul,56
Metz,107
Miamley,0
Miandetta (NSW),40
Micalo Island,34
Michelago,564
Middle Arm,362
Middle Brook,229
Middle Brother,48
Middle Cove,1339
Middle Dural,1014
Middle Falbrook,91
Middle Flat,51
Middle Pocket,141
Middleton Grange,5177
Middlingbank,17
Midginbil,68
Mihi,33
Mila,42
Milbrodale,119
Milbrulong,92
Milkers Flat,5
Millah Murrah,28
Millbank (NSW),121
Miller,3240
Millers Forest,336
Millers Point,1485
Millfield,1005
Millie,29
Millingandi,450
Millthorpe,1256
Milparinka,77
Milperra,3952
Milroy (Gunnedah - NSW),73
Milroy (Mid-Western Regional - NSW),50
Milsons Passage,13
Milsons Point,2161
Milton (NSW),1668
Milvale,72
Mimosa (NSW),87
Minchinbury,5623
Mindaribba,76
Mingoola (NSW),20
Minimbah,206
Minjary,37
Minmi,743
Minnamurra,758
Minnie Water,235
Minore,148
Minto,12547
Minto Heights,380
Mirador,373
Miranda (NSW),15284
Mirannie,73
Mirrabooka (NSW),728
Mirrool,89
Missabotti,295
Mitchell (NSW),1313
Mitchells Flat,208
Mitchells Island,467
Mittagong,5768
Moama,6165
Modanville,623
Mogareeka,59
Mogendoura,186
Moggs Swamp,30
Mogilla,79
Mogo (Eurobodalla - NSW),322
Mogo (Mid-Western Regional - NSW),6
Mogo Creek,0
Mogood,24
Mograni,30
Mogriguy,108
Mole River,66
Moleville Creek,34
Mollyan,31
Mollymook,1078
Mollymook Beach,2447
Molong,2579
