"","SSC","variable","value"
"573","Brisbane Grove","Buddhism",0
"574","Broadmeadow","Buddhism",17
"575","Broadwater (Bega Valley - NSW)","Buddhism",6
"576","Broadwater (Richmond Valley - NSW)","Buddhism",3
"577","Broadway","Buddhism",0
"578","Brobenah","Buddhism",0
"579","Brocklehurst","Buddhism",0
"580","Brocklesby","Buddhism",0
"581","Brockley","Buddhism",0
"582","Brodies Plains","Buddhism",0
"583","Brogans Creek","Buddhism",0
"584","Brogers Creek","Buddhism",0
"585","Brogo","Buddhism",11
"586","Broke (NSW)","Buddhism",0
"587","Broken Head","Buddhism",11
"588","Broken Hill","Buddhism",96
"589","Brombin","Buddhism",0
"590","Bronte","Buddhism",61
"591","Brookdale (NSW)","Buddhism",0
"592","Brookfield (NSW)","Buddhism",7
"593","Brooklana","Buddhism",0
"594","Brooklet","Buddhism",12
"595","Brooklyn (NSW)","Buddhism",11
"596","Brookong","Buddhism",0
"597","Brookvale","Buddhism",125
"598","Brooman","Buddhism",0
"599","Brooms Head","Buddhism",10
"600","Broughams Gate","Buddhism",0
"601","Broughton (NSW)","Buddhism",0
"602","Broughton Vale","Buddhism",0
"603","Broughton Village","Buddhism",0
"604","Broulee","Buddhism",6
"605","Brownlow Hill","Buddhism",8
"606","Browns Creek","Buddhism",0
"607","Browns Mountain","Buddhism",0
"608","Brownsville","Buddhism",8
"609","Brucedale","Buddhism",0
"610","Bruie Plains","Buddhism",0
"611","Bruinbun","Buddhism",0
"612","Brumby Plains","Buddhism",0
"613","Brundee","Buddhism",0
"614","Brungle","Buddhism",0
"615","Brungle Creek","Buddhism",0
"616","Brunkerville","Buddhism",0
"617","Brunswick Heads","Buddhism",32
"618","Brushgrove","Buddhism",0
"619","Brushy Creek","Buddhism",0
"620","Buangla","Buddhism",0
"621","Bucca (NSW)","Buddhism",4
"622","Bucca Wauka","Buddhism",0
"623","Buccarumbi","Buddhism",0
"624","Buchanan (NSW)","Buddhism",0
"625","Buckajo","Buddhism",0
"626","Buckaroo","Buddhism",0
"627","Buckenbowra","Buddhism",0
"628","Buckenderra","Buddhism",0
