"","V1","SSC","variable","value"
"487","2313","Lewisham (NSW)","Train",580
"488","2315","Liberty Grove","Train",327
"489","2316","Lidcombe","Train",2515
"490","2322","Lilli Pilli (Sutherland Shire - NSW)","Train",55
"491","2325","Lilyfield","Train",55
"492","2335","Linden (NSW)","Train",22
"493","2339","Lindfield","Train",1228
"494","2343","Lisarow","Train",153
"495","2347","Lithgow","Train",19
"496","2361","Liverpool","Train",991
"497","2363","Llandilo","Train",6
"498","2371","Loftus","Train",333
"499","2375","Londonderry (NSW)","Train",30
"500","2378","Long Jetty","Train",24
"501","2381","Long Point (Campbelltown - NSW)","Train",6
"502","2385","Longueville","Train",27
"503","2389","Lorn","Train",8
"504","2419","Luddenham","Train",18
"505","2421","Lugarno","Train",238
"506","2422","Lurnea","Train",133
"507","2432","Macmasters Beach","Train",18
"508","2433","Macquarie Fields","Train",794
"509","2434","Macquarie Hills","Train",7
"510","2435","Macquarie Links","Train",113
"511","2437","Macquarie Park","Train",776
"512","2443","Maianbar","Train",4
"513","2449","Maitland (NSW)","Train",13
"514","2468","Mangerton","Train",27
"515","2472","Mangrove Mountain","Train",5
"516","2477","Mannering Park","Train",3
"517","2484","Maraylya","Train",12
"518","2485","Marayong","Train",372
"519","2488","Mardi","Train",77
"520","2498","Marmong Point","Train",3
"521","2504","Marrickville","Train",3318
"522","2505","Marsden Park","Train",17
"523","2506","Marsfield","Train",365
"524","2512","Martinsville","Train",4
"525","2514","Maryland (Newcastle - NSW)","Train",8
"526","2519","Mascot","Train",2024
"527","2520","Matcham","Train",13
"528","2530","Mayfield (Newcastle - NSW)","Train",30
"529","2534","Mayfield East","Train",8
"530","2538","Mays Hill","Train",13
"531","2542","McGraths Hill","Train",41
"532","2547","McMahons Point","Train",364
"533","2550","Meadowbank (NSW)","Train",1048
"534","2553","Medlow Bath","Train",22
"535","2563","Melrose Park (NSW)","Train",68
"536","2567","Menai","Train",305
"537","2568","Menangle","Train",11
"538","2569","Menangle Park","Train",5
"539","2575","Merimbula","Train",3
"540","2588","Merrylands","Train",1545
"541","2589","Merrylands West","Train",137
"542","2592","Metford","Train",15
"543","2602","Middle Cove","Train",10
"544","2603","Middle Dural","Train",5
"545","2607","Middleton Grange","Train",93
"546","2617","Miller","Train",14
"547","2619","Millers Point","Train",64
"548","2625","Milperra","Train",108
"549","2629","Milsons Point","Train",499
"550","2633","Minchinbury","Train",170
"551","2639","Minnamurra","Train",3
"552","2642","Minto","Train",774
"553","2643","Minto Heights","Train",13
"554","2645","Miranda (NSW)","Train",930
"555","2647","Mirrabooka (NSW)","Train",5
"556","2653","Mittagong","Train",47
"557","2686","Monterey","Train",122
"558","2698","Moonbah","Train",3
"559","2704","Mooney Mooney","Train",6
"560","2712","Moorebank","Train",279
"561","2723","Morisset","Train",25
"562","2724","Morisset Park","Train",6
"563","2728","Mortdale","Train",1515
"564","2729","Mortlake (NSW)","Train",14
"565","2732","Morts Estate","Train",4
"566","2739","Moss Vale","Train",36
"567","2745","Mount Annan","Train",236
"568","2750","Mount Colah","Train",567
"569","2756","Mount Druitt","Train",952
"570","2757","Mount Elliot (NSW)","Train",6
"571","2765","Mount Hunter","Train",3
"572","2766","Mount Hutton (NSW)","Train",5
"573","2768","Mount Keira","Train",17
"574","2769","Mount Kembla","Train",4
"575","2772","Mount Kuring-Gai","Train",135
"576","2774","Mount Lewis","Train",46
"577","2782","Mount Ousley","Train",16
"578","2784","Mount Pleasant (NSW)","Train",19
"579","2785","Mount Pritchard","Train",143
"580","2788","Mount Riverview","Train",92
"581","2791","Mount Saint Thomas","Train",17
"582","2796","Mount Vernon","Train",8
"583","2797","Mount Victoria","Train",23
"584","2801","Mount Warrigal","Train",14
"585","2810","Mowbray Park","Train",3
"586","2813","Mulbring","Train",3
"587","2814","Mulgoa","Train",13
"588","2830","Mulwala","Train",3
"589","2868","Muswellbrook","Train",9
"590","2887","Nambucca Heads","Train",7
"591","2895","Narara","Train",291
"592","2896","Narellan","Train",26
"593","2897","Narellan Vale","Train",91
"594","2898","Naremburn","Train",489
"595","2912","Narwee","Train",580
"596","2934","Neutral Bay","Train",358
"597","2942","New Lambton","Train",28
"598","2943","New Lambton Heights","Train",5
"599","2949","Newcastle","Train",15
"600","2950","Newcastle East","Train",3
"601","2951","Newcastle West","Train",4
"602","2953","Newington (NSW)","Train",148
"603","2960","Newtown (NSW)","Train",2909
"604","2961","Niagara Park","Train",103
"605","2974","Noraville","Train",14
"606","2975","Nords Wharf","Train",3
"607","2976","Normanhurst","Train",601
"608","2980","North Avoca","Train",36
"609","2984","North Bondi","Train",95
"610","2990","North Epping","Train",254
"611","2991","North Gosford","Train",143
"612","2993","North Lambton","Train",7
"613","3001","North Parramatta","Train",434
"614","3002","North Richmond","Train",48
"615","3003","North Rocks","Train",49
"616","3005","North Ryde","Train",234
"617","3007","North St Marys","Train",107
